candidate_id,rank,score,reasoning
CAND_0058791,74,589.23,"Relevant AI-focused profile with 5 key JD skills, strong activity signals and 4.1 years experience."
CAND_0039383,75,589.1,Strong AI/ML alignment with 3 matching skills and 7.1 years of industry experience.
CAND_0079064,76,588.53,Strong AI/ML alignment with 4 matching skills and 5.2 years of industry experience.
CAND_0041669,77,585.6,Strong AI/ML alignment with 4 matching skills and 8.0 years of industry experience.
CAND_0010541,78,582.51,Strong AI/ML alignment with 5 matching skills and 6.2 years of industry experience.
CAND_0075574,79,581.86,"Matched 4 AI/ML JD skills, strong recruiter engagement and endorsements."
CAND_0076831,80,579.15,"Matched 4 AI/ML JD skills, strong recruiter engagement and endorsements."
CAND_0007460,81,576.49,Strong AI/ML alignment with 3 matching skills and 4.7 years of industry experience.
CAND_0091909,82,575.2,"Matched 3 AI/ML JD skills, strong recruiter engagement and endorsements."
CAND_0066999,83,574.89,"Relevant AI-focused profile with 4 key JD skills, strong activity signals and 5.9 years experience."
CAND_0080766,84,574.4,"Relevant AI-focused profile with 4 key JD skills, strong activity signals and 8.8 years experience."
CAND_0079284,85,571.75,"Relevant AI-focused profile with 4 key JD skills, strong activity signals and 4.9 years experience."
CAND_0009691,86,565.07,"Matched 4 AI/ML JD skills, strong recruiter engagement and endorsements."
CAND_0003977,87,559.49,Strong AI/ML alignment with 3 matching skills and 4.6 years of industry experience.
CAND_0072660,88,559.45,"Relevant AI-focused profile with 5 key JD skills, strong activity signals and 7.1 years experience."
CAND_0093547,89,558.17,"Matched 4 AI/ML JD skills, strong recruiter engagement and endorsements."
CAND_0041610,90,555.43,"Relevant AI-focused profile with 3 key JD skills, strong activity signals and 6.7 years experience."
CAND_0046353,91,554.13,"Relevant AI-focused profile with 4 key JD skills, strong activity signals and 6.4 years experience."
CAND_0077337,92,552.17,"Relevant AI-focused profile with 4 key JD skills, strong activity signals and 7.0 years experience."
CAND_0027801,93,549.05,"Relevant AI-focused profile with 3 key JD skills, strong activity signals and 7.4 years experience."
CAND_0068456,94,544.15,Strong AI/ML alignment with 4 matching skills and 4.8 years of industry experience.
CAND_0051615,95,544.01,"Relevant AI-focused profile with 3 key JD skills, strong activity signals and 4.6 years experience."
CAND_0070398,96,541.21,"Relevant AI-focused profile with 4 key JD skills, strong activity signals and 7.2 years experience."
CAND_0050876,97,540.56,Strong AI/ML alignment with 4 matching skills and 6.0 years of industry experience.
CAND_0087630,98,539.07,"Relevant AI-focused profile with 4 key JD skills, strong activity signals and 7.2 years experience."
CAND_0081053,99,539.01,Strong AI/ML alignment with 3 matching skills and 5.4 years of industry experience.
CAND_0007411,100,538.48,"Matched 3 AI/ML JD skills, strong recruiter engagement and endorsements."
